사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
Jan-19,1호선,159,동묘앞,93 ,3 ,3326 ,832 ,3418 ,3433 ,6088 ,8945 ,9415 ,22873 ,8843 ,17002 ,9745 ,19744 ,14192 ,28601 ,20731 ,35160 ,27534 ,40084 ,36068 ,40068 ,41458 ,33617 ,40873 ,23502 ,37880 ,16292 ,28274 ,11369 ,12349 ,8521 ,7475 ,6051 ,6022 ,5914 ,4480 ,6355 ,2215 ,4516 ,235 ,3138 ,2 ,242 ,1 ,0 ,0 ,0 
Jan-19,2호선,201,시청,87 ,0 ,1197 ,1808 ,2206 ,15659 ,5822 ,66277 ,8873 ,254330 ,12013 ,95188 ,17651 ,32025 ,25481 ,30310 ,26033 ,28013 ,32215 ,33375 ,37478 ,30697 ,43238 ,27328 ,45902 ,24172 ,81239 ,23757 ,200915 ,25855 ,77382 ,15302 ,52055 ,8635 ,48948 ,8077 ,32648 ,7421 ,13825 ,5039 ,1947 ,1533 ,0 ,89 ,0 ,0 ,0 ,0 
Jan-19,2호선,202,을지로입구,60 ,0 ,3044 ,3128 ,3503 ,25964 ,8459 ,127983 ,15748 ,370776 ,20905 ,168061 ,28590 ,92607 ,41038 ,100103 ,47523 ,78430 ,63060 ,77579 ,74180 ,70126 ,89228 ,69194 ,101038 ,67385 ,142185 ,69532 ,318327 ,78752 ,163235 ,48268 ,149467 ,25407 ,128491 ,20392 ,91465 ,17712 ,41279 ,10668 ,5000 ,3520 ,14 ,985 ,0 ,0 ,0 ,0 
Jan-19,2호선,203,을지로3가,20 ,1 ,1133 ,1883 ,2446 ,17469 ,5822 ,68791 ,10508 ,176943 ,13616 ,88607 ,18218 ,41437 ,22818 ,34233 ,24447 ,29370 ,29465 ,33282 ,33221 ,29613 ,38710 ,26786 ,43644 ,27132 ,71484 ,27672 ,152381 ,33144 ,72946 ,20992 ,48048 ,10484 ,50045 ,8952 ,38666 ,8209 ,19389 ,5590 ,3613 ,1671 ,7 ,78 ,0 ,0 ,0 ,0 
Jan-19,2호선,204,을지로4가,7 ,0 ,833 ,840 ,1536 ,13828 ,3225 ,22942 ,5851 ,67532 ,8888 ,43609 ,12444 ,27961 ,15619 ,26547 ,18835 ,25914 ,21763 ,25161 ,26007 ,24232 ,30007 ,21844 ,32886 ,18192 ,46771 ,16010 ,67611 ,13723 ,38177 ,8826 ,18234 ,5188 ,13443 ,4697 ,9927 ,4610 ,4376 ,3428 ,911 ,958 ,1 ,53 ,0 ,0 ,0 ,0 
Jan-19,2호선,205,동대문역사문화공원,387 ,4 ,10806 ,869 ,5926 ,8238 ,7973 ,19653 ,14495 ,60112 ,14614 ,42387 ,15258 ,35933 ,18466 ,33436 ,23351 ,35869 ,26314 ,41920 ,32047 ,39338 ,38846 ,35100 ,43535 ,32181 ,54629 ,34736 ,65233 ,41212 ,44621 ,48951 ,32824 ,32730 ,29950 ,24345 ,28345 ,18959 ,18917 ,12673 ,2926 ,4548 ,3 ,134 ,0 ,0 ,0 ,0 
Jan-19,2호선,206,신당,33 ,2 ,6309 ,1181 ,11451 ,8459 ,27835 ,16020 ,47992 ,40276 ,28853 ,27875 ,20975 ,21224 ,20775 ,22341 ,23407 ,23284 ,25782 ,25910 ,26248 ,27073 ,27402 ,26978 ,30149 ,28856 ,35516 ,35541 ,41465 ,48385 ,26313 ,38575 ,18420 ,23281 ,16551 ,21686 ,12020 ,21090 ,7218 ,13925 ,1121 ,5040 ,6 ,53 ,0 ,0 ,0 ,0 
Jan-19,2호선,207,상왕십리,28 ,3 ,5806 ,716 ,12635 ,5440 ,38199 ,11057 ,68229 ,40639 ,36040 ,22797 ,22613 ,15402 ,22049 ,14038 ,22803 ,15334 ,23014 ,17811 ,20417 ,18793 ,20673 ,20039 ,22175 ,23096 ,27045 ,30640 ,35225 ,50447 ,21943 ,40161 ,14245 ,25369 ,13600 ,24134 ,9705 ,24951 ,3907 ,16452 ,615 ,5928 ,2 ,54 ,1 ,0 ,0 ,0 
Jan-19,2호선,208,왕십리(성동구청),667 ,7 ,7630 ,1123 ,11377 ,6148 ,31012 ,11411 ,60304 ,31248 ,36056 ,24256 ,23221 ,16840 ,24191 ,18038 ,27489 ,20780 ,29854 ,23150 ,28785 ,23541 ,30574 ,25120 ,32735 ,28490 ,41296 ,39744 ,49665 ,67321 ,31292 ,49902 ,29540 ,28919 ,33824 ,24991 ,32782 ,25236 ,21011 ,17688 ,3548 ,7569 ,1 ,108 ,0 ,0 ,0 ,0 
Jan-19,2호선,209,한양대,11 ,1 ,1295 ,346 ,2424 ,5635 ,6313 ,10512 ,10105 ,37533 ,7567 ,45390 ,6721 ,21452 ,9945 ,15158 ,12474 ,19319 ,13528 ,19497 ,14428 ,14448 ,16621 ,12315 ,23176 ,11629 ,34986 ,11417 ,31230 ,14267 ,15814 ,9762 ,12422 ,6592 ,12627 ,5883 ,10212 ,6006 ,6014 ,4054 ,1251 ,1491 ,1 ,24 ,0 ,0 ,0 ,0 
Jan-19,2호선,210,뚝섬,18 ,0 ,4142 ,1797 ,9130 ,13242 ,23263 ,27099 ,35147 ,133396 ,22016 ,65516 ,16907 ,26965 ,18425 ,20990 ,19838 ,20586 ,22968 ,23182 ,24109 ,22146 ,25943 ,22818 ,29558 ,23585 ,42648 ,28796 ,109907 ,40235 ,51606 ,31500 ,27860 ,17980 ,25547 ,16495 ,18465 ,17113 ,7922 ,11005 ,1329 ,4310 ,3 ,113 ,1 ,1 ,0 ,0 
Jan-19,2호선,211,성수,66 ,12 ,5882 ,4037 ,10844 ,25840 ,25458 ,66913 ,36540 ,280949 ,27967 ,104461 ,24125 ,42243 ,25668 ,33427 ,28945 ,32437 ,33641 ,35840 ,37750 ,35487 ,40947 ,36103 ,46970 ,36186 ,83326 ,42219 ,208470 ,51592 ,92811 ,39195 ,49394 ,22509 ,46710 ,20031 ,34230 ,18093 ,15355 ,12227 ,2379 ,7639 ,8 ,1143 ,0 ,0 ,0 ,0 
Jan-19,2호선,212,건대입구,298 ,11 ,20178 ,2206 ,25927 ,15658 ,59821 ,26327 ,113196 ,65846 ,73042 ,53154 ,43443 ,47604 ,42580 ,54985 ,50587 ,70737 ,57458 ,79246 ,58197 ,80373 ,63097 ,86307 ,72867 ,96567 ,87187 ,128658 ,106746 ,203440 ,83165 ,163065 ,84582 ,88166 ,101067 ,76980 ,109703 ,68651 ,69050 ,43037 ,12210 ,15945 ,5 ,1183 ,0 ,0 ,0 ,0 
Jan-19,2호선,213,구의(광진구청),62 ,4 ,13416 ,1341 ,25792 ,10991 ,70814 ,15815 ,130380 ,44549 ,74902 ,27832 ,39077 ,22363 ,33621 ,22904 ,35166 ,25148 ,36565 ,28805 ,33320 ,31070 ,31829 ,37483 ,34321 ,42848 ,40288 ,55287 ,50891 ,93956 ,28104 ,78902 ,21545 ,50684 ,20481 ,50758 ,17260 ,49446 ,10919 ,28978 ,1951 ,10126 ,9 ,153 ,0 ,0 ,0 ,0 
Jan-19,2호선,214,강변(동서울터미널),18 ,0 ,9803 ,3838 ,29345 ,28033 ,99368 ,33030 ,148781 ,58847 ,112708 ,58071 ,90078 ,52739 ,87151 ,52926 ,83887 ,61189 ,82513 ,70581 ,74437 ,76623 ,74548 ,88963 ,78371 ,96447 ,83042 ,107865 ,91479 ,154340 ,73591 ,125838 ,55572 ,84817 ,52012 ,75477 ,34621 ,70347 ,13819 ,38563 ,2122 ,9968 ,4 ,243 ,1 ,0 ,0 ,0 
Jan-19,2호선,215,잠실나루,6 ,2 ,3069 ,1839 ,12422 ,10501 ,45639 ,22499 ,62872 ,43182 ,36720 ,32397 ,28139 ,24738 ,29567 ,21637 ,29321 ,25633 ,27794 ,26294 ,29534 ,25430 ,30651 ,24766 ,33421 ,24130 ,39788 ,29363 ,39125 ,48008 ,22554 ,41437 ,16931 ,24798 ,13327 ,24137 ,8146 ,24751 ,3659 ,14977 ,582 ,4831 ,1 ,96 ,1 ,1 ,0 ,0 
Jan-19,2호선,216,잠실(송파구청),100 ,3 ,12409 ,5576 ,47262 ,38078 ,130638 ,91126 ,194415 ,204093 ,139336 ,190511 ,94884 ,127980 ,96326 ,135404 ,106983 ,129034 ,121476 ,137784 ,129402 ,136246 ,145865 ,141239 ,168082 ,150654 ,215130 ,175624 ,294737 ,256403 ,206532 ,194440 ,186737 ,112296 ,156895 ,104145 ,131499 ,102211 ,42200 ,62152 ,4969 ,15247 ,11 ,418 ,1 ,0 ,0 ,0 
Jan-19,2호선,217,잠실새내,18 ,0 ,5401 ,900 ,17709 ,8553 ,59461 ,17391 ,89078 ,31935 ,55152 ,36450 ,36176 ,28541 ,36722 ,30120 ,38576 ,32722 ,40799 ,38116 ,38031 ,42075 ,38450 ,43798 ,42318 ,50663 ,46898 ,65707 ,53611 ,104349 ,39466 ,86003 ,33428 ,49108 ,35506 ,42383 ,35716 ,40910 ,21541 ,22960 ,3985 ,8006 ,6 ,189 ,0 ,0 ,0 ,0 
Jan-19,2호선,218,종합운동장,5 ,0 ,2106 ,1556 ,7206 ,7838 ,18787 ,16921 ,29489 ,27597 ,21264 ,19068 ,14857 ,14369 ,14303 ,13267 ,14396 ,12977 ,14920 ,15177 ,18867 ,20835 ,19850 ,18157 ,16227 ,17280 ,21393 ,20075 ,22785 ,33505 ,16402 ,27357 ,10561 ,15186 ,14272 ,14840 ,14031 ,14876 ,3730 ,9015 ,431 ,2924 ,4 ,121 ,1 ,1 ,0 ,0 
Jan-19,2호선,219,삼성(무역센터),216 ,1 ,5602 ,5719 ,8587 ,39100 ,17974 ,127493 ,26821 ,378832 ,27266 ,278283 ,27914 ,131650 ,42708 ,114866 ,55075 ,102170 ,76005 ,112552 ,92068 ,100302 ,117335 ,86738 ,136431 ,80251 ,203382 ,79991 ,348450 ,93026 ,220595 ,58650 ,159141 ,27026 ,141063 ,21377 ,99081 ,18278 ,29233 ,10688 ,4195 ,5281 ,5 ,1742 ,0 ,1 ,0 ,0 
Jan-19,2호선,220,선릉,112 ,0 ,6294 ,6553 ,12680 ,38604 ,23502 ,111622 ,39674 ,329945 ,38921 ,245288 ,39559 ,106771 ,52885 ,74084 ,61115 ,66661 ,77415 ,82112 ,85450 ,69063 ,109047 ,59005 ,147898 ,57449 ,176738 ,61248 ,331334 ,74281 ,178334 ,52162 ,110571 ,28962 ,113215 ,25403 ,94865 ,23063 ,37596 ,13532 ,6476 ,6592 ,3 ,251 ,0 ,0 ,0 ,0 
Jan-19,2호선,221,역삼,83 ,1 ,4327 ,8500 ,9750 ,38548 ,16391 ,135196 ,29868 ,397974 ,28302 ,300025 ,29196 ,124732 ,39830 ,80572 ,48945 ,66701 ,63625 ,78844 ,68394 ,68999 ,87403 ,60617 ,104295 ,56217 ,178448 ,62182 ,332167 ,77195 ,173560 ,57814 ,104376 ,28400 ,113316 ,22150 ,78322 ,19428 ,35363 ,12607 ,5898 ,4298 ,0 ,137 ,2 ,1 ,0 ,0 
Jan-19,2호선,222,강남,330 ,8 ,17230 ,12987 ,26867 ,58425 ,48487 ,184588 ,80456 ,378961 ,68596 ,420878 ,70921 ,200209 ,97368 ,173073 ,126159 ,177366 ,170216 ,216039 ,169097 ,180809 ,203483 ,174765 ,227268 ,174630 ,291623 ,210420 ,431115 ,301515 ,292521 ,226472 ,235489 ,97022 ,295326 ,72936 ,314609 ,63765 ,145504 ,39894 ,27203 ,12993 ,36 ,348 ,0 ,0 ,0 ,0 
Jan-19,2호선,223,교대(법원.검찰청),16 ,3 ,2848 ,7108 ,13423 ,24205 ,27365 ,58768 ,44501 ,170793 ,35621 ,157295 ,33540 ,79969 ,41787 ,73390 ,44253 ,67976 ,57320 ,73436 ,67118 ,67351 ,72251 ,62817 ,72994 ,60958 ,102651 ,72516 ,170031 ,97613 ,87215 ,66548 ,66158 ,34720 ,76043 ,30752 ,67092 ,29444 ,28257 ,16363 ,5915 ,5253 ,4 ,93 ,0 ,0 ,0 ,0 
Jan-19,2호선,224,서초,2 ,0 ,1388 ,6034 ,7283 ,19302 ,14946 ,48892 ,24883 ,141742 ,26352 ,106906 ,20935 ,49924 ,30421 ,42584 ,27838 ,31929 ,38785 ,33168 ,38560 ,34424 ,43864 ,26868 ,51095 ,28080 ,70124 ,29016 ,123407 ,32964 ,59493 ,24988 ,36664 ,12925 ,42039 ,12127 ,27633 ,11744 ,9452 ,6958 ,1216 ,2104 ,2 ,29 ,0 ,0 ,0 ,0 
Jan-19,2호선,225,방배,6 ,2 ,3153 ,2781 ,10143 ,11427 ,26301 ,27125 ,41197 ,80348 ,31970 ,52946 ,23275 ,30342 ,24887 ,24557 ,26541 ,25890 ,29614 ,28937 ,29727 ,27692 ,32174 ,27388 ,36099 ,28400 ,47261 ,34740 ,80942 ,45978 ,37560 ,37953 ,26084 ,24255 ,27061 ,22684 ,21262 ,24702 ,9733 ,14535 ,2124 ,4741 ,2 ,59 ,0 ,0 ,0 ,0 
Jan-19,2호선,226,사당,90 ,13 ,14820 ,3720 ,24998 ,32033 ,78413 ,50282 ,110378 ,82457 ,80376 ,62807 ,51806 ,49486 ,50832 ,60301 ,58239 ,63171 ,66298 ,60097 ,70653 ,61999 ,70777 ,70068 ,71302 ,93599 ,83565 ,125744 ,111586 ,192982 ,80441 ,157292 ,71523 ,85775 ,84690 ,80098 ,85287 ,79338 ,50307 ,51426 ,9385 ,16793 ,10 ,950 ,0 ,0 ,0 ,0 
Jan-19,2호선,227,낙성대,104 ,0 ,11594 ,2324 ,27126 ,11041 ,89675 ,18889 ,143983 ,46982 ,92385 ,39180 ,47609 ,30014 ,41947 ,26983 ,45246 ,31142 ,46119 ,34354 ,40925 ,35945 ,40788 ,40964 ,43469 ,46426 ,52236 ,59550 ,64598 ,101640 ,36830 ,104861 ,27538 ,65841 ,24659 ,63127 ,21239 ,66236 ,12124 ,43189 ,2100 ,13814 ,3 ,264 ,0 ,0 ,0 ,0 
Jan-19,2호선,228,서울대입구(관악구청),4257 ,33 ,29889 ,2949 ,44578 ,17276 ,146181 ,28281 ,209064 ,73360 ,140095 ,73778 ,78558 ,59875 ,72811 ,57579 ,78141 ,61748 ,87621 ,72457 ,77694 ,74245 ,80781 ,80354 ,86976 ,90581 ,100171 ,114207 ,116475 ,182484 ,72076 ,187144 ,58477 ,107922 ,59893 ,102465 ,57592 ,107485 ,29956 ,70125 ,4945 ,24161 ,6 ,4456 ,0 ,0 ,0 ,0 
Jan-19,2호선,229,봉천,92 ,4 ,15721 ,2211 ,28582 ,11899 ,84974 ,11725 ,126010 ,28776 ,76313 ,24751 ,42766 ,23482 ,36481 ,25497 ,39542 ,26797 ,41356 ,29697 ,34928 ,32166 ,33626 ,39930 ,35382 ,44916 ,40655 ,54599 ,42057 ,84384 ,25352 ,82225 ,18827 ,50341 ,17877 ,49105 ,14316 ,48114 ,6348 ,30057 ,1121 ,9458 ,5 ,379 ,0 ,0 ,0 ,0 
Jan-19,2호선,230,신림,338 ,24 ,41291 ,5773 ,80407 ,23284 ,243083 ,34120 ,355172 ,71599 ,211286 ,61589 ,113830 ,54141 ,98765 ,61455 ,104772 ,69151 ,103317 ,79240 ,93053 ,84993 ,92098 ,104483 ,97889 ,122077 ,108508 ,160655 ,118582 ,272435 ,82693 ,288901 ,66775 ,172144 ,64626 ,163385 ,59749 ,162811 ,34770 ,109651 ,6406 ,35670 ,13 ,711 ,0 ,0 ,0 ,0 
Jan-19,2호선,231,신대방,148 ,5 ,23909 ,2567 ,37417 ,10514 ,99608 ,18709 ,144016 ,38526 ,92744 ,25303 ,52077 ,22437 ,42314 ,22797 ,43424 ,24521 ,42604 ,29295 ,37062 ,32466 ,34443 ,42633 ,37058 ,49488 ,40593 ,64755 ,52095 ,93787 ,30533 ,96982 ,22216 ,63045 ,17803 ,66937 ,12783 ,71235 ,6747 ,42756 ,1272 ,11971 ,1 ,276 ,1 ,1 ,0 ,0 
Jan-19,2호선,232,구로디지털단지,148 ,8 ,40439 ,6037 ,55031 ,22520 ,154641 ,73916 ,208010 ,288198 ,134149 ,180191 ,81599 ,69991 ,74863 ,58807 ,79900 ,59899 ,83809 ,73895 ,74884 ,78369 ,78951 ,82391 ,92150 ,91667 ,130449 ,122445 ,269860 ,178764 ,148268 ,173608 ,89237 ,105516 ,77878 ,106905 ,62269 ,109174 ,31316 ,67337 ,4773 ,19678 ,9 ,351 ,0 ,0 ,0 ,0 
Jan-19,2호선,233,대림(구로구청),424 ,14 ,34868 ,3671 ,33459 ,13112 ,77272 ,23262 ,110136 ,67338 ,78235 ,43054 ,46932 ,37331 ,40888 ,41126 ,43023 ,40390 ,44606 ,42119 ,41170 ,41939 ,41004 ,50049 ,43951 ,53444 ,54369 ,73473 ,73010 ,86057 ,40336 ,74151 ,27849 ,50363 ,23477 ,61314 ,17040 ,64193 ,9289 ,33657 ,1559 ,9629 ,8 ,406 ,0 ,0 ,0 ,0 
Jan-19,2호선,234,신도림,2786 ,18 ,38860 ,6018 ,54396 ,20771 ,153133 ,44286 ,163946 ,132661 ,103056 ,86117 ,72380 ,79358 ,72944 ,79590 ,84239 ,86433 ,92085 ,90732 ,92114 ,84921 ,97144 ,92498 ,103198 ,101725 ,122704 ,127459 ,170025 ,196242 ,103844 ,177666 ,88320 ,97217 ,92413 ,90012 ,72674 ,90772 ,32451 ,66546 ,4275 ,31092 ,14 ,3745 ,1 ,0 ,0 ,0 
Jan-19,2호선,235,문래,11 ,1 ,3761 ,2523 ,12212 ,12241 ,46364 ,31910 ,51444 ,122378 ,29116 ,61675 ,22770 ,25402 ,22776 ,23260 ,25836 ,23981 ,28218 ,25118 ,27404 ,24777 ,28813 ,25103 ,33210 ,27143 ,49246 ,32634 ,104606 ,52788 ,45535 ,46812 ,27803 ,25671 ,26795 ,23316 ,22821 ,21061 ,9675 ,14886 ,1736 ,4537 ,4 ,156 ,0 ,1 ,0 ,0 
Jan-19,2호선,236,영등포구청,37 ,1 ,6025 ,2731 ,14032 ,13205 ,45277 ,36704 ,52020 ,124177 ,33266 ,57499 ,26218 ,29185 ,27731 ,26490 ,29685 ,27838 ,31567 ,31067 ,32070 ,29992 ,33292 ,30380 ,36707 ,31687 ,53326 ,37208 ,110934 ,58699 ,43756 ,48375 ,30974 ,27088 ,31553 ,25331 ,26120 ,23798 ,10511 ,16708 ,1776 ,5907 ,2 ,207 ,0 ,0 ,0 ,0 
Jan-19,2호선,237,당산,8 ,2 ,6908 ,3800 ,19543 ,15855 ,56578 ,30265 ,73654 ,89744 ,46725 ,42277 ,31238 ,23062 ,31188 ,23084 ,30507 ,24613 ,31156 ,27333 ,27997 ,27136 ,28332 ,30145 ,31691 ,36366 ,47102 ,48533 ,73670 ,78256 ,39638 ,67121 ,24979 ,42098 ,25398 ,41393 ,21337 ,40022 ,11424 ,26004 ,1764 ,7075 ,6 ,309 ,0 ,0 ,0 ,0 
Jan-19,2호선,238,합정,148 ,3 ,9414 ,3792 ,18697 ,19533 ,48068 ,39503 ,62382 ,107081 ,42181 ,78641 ,31989 ,48300 ,34416 ,47371 ,38540 ,54158 ,43885 ,62007 ,45142 ,58652 ,49239 ,58478 ,58316 ,66164 ,79726 ,80894 ,126009 ,120238 ,81654 ,102741 ,64166 ,51374 ,77947 ,41311 ,77181 ,36376 ,40847 ,25198 ,6945 ,8753 ,12 ,361 ,0 ,0 ,0 ,0 
Jan-19,2호선,239,홍대입구,1999 ,25 ,42966 ,4886 ,40983 ,21293 ,75744 ,34121 ,97036 ,122529 ,72382 ,128526 ,65507 ,102686 ,73896 ,124656 ,85601 ,160811 ,99834 ,188834 ,106904 ,185683 ,126667 ,186096 ,152936 ,196176 ,191090 ,223886 ,233658 ,283946 ,186501 ,241174 ,180036 ,132395 ,226138 ,103526 ,251179 ,87344 ,137721 ,64639 ,17971 ,23195 ,18 ,2622 ,0 ,0 ,0 ,0 
Jan-19,2호선,240,신촌,87 ,3 ,10759 ,3671 ,16610 ,16460 ,40444 ,40493 ,59087 ,95857 ,44094 ,122836 ,44421 ,83333 ,56021 ,82634 ,71727 ,87451 ,81086 ,104574 ,78818 ,88099 ,91340 ,84962 ,103008 ,85961 ,126896 ,105979 ,127149 ,148566 ,96493 ,120347 ,98775 ,61541 ,107670 ,48650 ,116982 ,44061 ,58582 ,31802 ,9616 ,10396 ,15 ,240 ,0 ,0 ,0 ,0 
Jan-19,2호선,241,이대,29 ,4 ,2949 ,1861 ,6574 ,11971 ,18646 ,13674 ,28274 ,42796 ,19292 ,44247 ,15901 ,36385 ,21534 ,35411 ,31439 ,41113 ,34160 ,40893 ,32618 ,35838 ,39577 ,35883 ,49028 ,34114 ,58930 ,34608 ,51685 ,40463 ,34243 ,33923 ,27289 ,19341 ,30775 ,17365 ,22309 ,17610 ,7017 ,13262 ,953 ,4538 ,3 ,98 ,0 ,0 ,0 ,0 
Jan-19,2호선,242,아현,14 ,0 ,4365 ,1043 ,9517 ,7680 ,26197 ,8561 ,40019 ,18911 ,24227 ,14695 ,18671 ,11131 ,18052 ,10369 ,19360 ,12189 ,18638 ,13512 ,16889 ,14025 ,17249 ,16073 ,18572 ,18818 ,22254 ,22368 ,22144 ,32329 ,13164 ,28647 ,9627 ,18476 ,7812 ,18551 ,5319 ,18710 ,2573 ,13179 ,441 ,4030 ,0 ,62 ,0 ,0 ,0 ,0 
Jan-19,2호선,243,충정로(경기대입구),34 ,2 ,3663 ,999 ,7384 ,7466 ,18343 ,17012 ,26840 ,73573 ,17445 ,36167 ,13612 ,15028 ,15241 ,12900 ,15192 ,12964 ,15951 ,15066 ,16380 ,13892 ,16919 ,14787 ,18745 ,15544 ,25357 ,18683 ,61947 ,26187 ,21601 ,20924 ,13041 ,13736 ,12981 ,13751 ,9367 ,13446 ,4337 ,8786 ,760 ,2893 ,2 ,102 ,0 ,0 ,0 ,0 
